REFERENCIA;ITEM;DESCRICAO;VALIDADE;DATA;PRECO1;PRECO2;PRECO3;PRECO4
8232;BLUSA;BL SILVANA;VERAO 2015;08/07/2014;49,9;56,9;85,9;0
8233;VESTIDO;VE SILVIA;VERAO 2015;11/06/2014;99,9;114,9;171,9;0
8234;VESTIDO;VE SIMONE;VERAO 2015;18/06/2014;104,9;120,9;180,9;0
8235;VESTIDO;VE SIONA;VERAO 2015;13/06/2014;104,9;120,9;180,9;0
8236;VESTIDO;VE SOFIA;VERAO 2015;03/07/2014;104,9;120,9;180,9;0
8237;BLUSA;BL SOLANGE;VERAO 2015;13/06/2014;49,9;56,9;85,9;0
8238;BLUSA;BL SONIA;VERAO 2015;13/06/2014;69,9;79,9;120,9;0
8239;VESTIDO;VE SORAIA;VERAO 2015;23/06/2014;104,9;120,9;180,9;0
8240;MACACAO;MAC STEFANE;VERAO 2015;27/06/2014;119,9;137,9;206,9;0
8241;VESTIDO;VE STEFANI;VERAO 2015;17/06/2014;149,9;171,9;258,9;0
8242;VESTIDO;VE STELA;VERAO 2015;23/06/2014;99,9;114,9;171,9;0
8243;SAIA;SA SUEDIA;VERAO 2015;24/06/2014;49,9;56,9;85,9;0
8244;VESTIDO;VE SUZEL;VERAO 2015;26/06/2014;104,9;120,9;180,9;0
8245;VESTIDO;VE SUELI;VERAO 2015;26/06/2014;129,9;148,9;223,9;0
8246;BLUSA;BL SUZETE;VERAO 2015;24/07/2014;49,9;56,9;85,9;0
8247;BLUSA;BL SUMAIA;VERAO 2015;11/07/2014;49,9;56,9;85,9;0
8248;BLUSA;BL SUSAN;VERAO 2015;30/06/2014;49,9;56,9;85,9;0
8249;BLUSA;BL SUZANA;VERAO 2015;21/07/2014;49,9;56,9;85,9;0
8250;BLUSA;BL TACIANA;VERAO 2015;11/07/2014;69,9;79,9;119,9;0
8251;BLUSA;BL TALIA;VERAO 2015;30/06/2014;49,9;56,9;85,9;0
8252;BLUSA;BL TALITA;VERAO 2015;16/07/2014;49,9;56,9;85,9;0
8253;VESTIDO;VE TATIANA;VERAO 2015;01/07/2014;104,9;120,9;180,9;0
8254;VESTIDO;VE TANIA;VERAO 2015;01/07/2014;99,9;114,9;171,9;0
8255;BLUSA;BL TALITA;VERAO 2015;02/07/2014;49,9;56,9;85,9;0
8256;BLUSA;BL TEODORO;VERAO 2015;24/07/2014;49,9;56,9;85,9;0
8257;BLUSA;BL TERESA;VERAO 2015;04/07/2014;49,9;56,9;85,9;0
8258;BLUSA;BL THAIS;VERAO 2015;04/07/2014;49,9;56,9;85,9;0
8259;BLUSA;BL THAUANY;;16/07/2014;49,9;56,9;85,9;0
8260;BLUSA;BL THAYNA;VERAO 2015;21/07/2014;49,9;56,9;85,9;0
8261;BLUSA;BL THELMA;VERAO 2015;18/07/2014;49,9;56,9;85,9;0
8262;VESTIDO;VE TIANA;VERAO 2015;08/07/2014;83,9;125,9;188,9;83,9
8263;VESTIDO;VE TICIANA;VERAO 2015;08/07/2014;99,9;104,9;171,9;0
8264;BLUSA;BL TRICIA;VERAO 2015;14/07/2014;49,9;56,9;84,9;0
8265;VESTIDO;VE TONIA;VERAO 2015;14/07/2014;99,9;114,9;171,9;0
8266;MACACAO;MAC TUNIA;VERAO 2015;21/07/2014;104,9;120,9;180,9;0
8267;VESTIDO;VE ULLA;VERAO 2015;14/07/2014;104,9;120,9;180,9;0
8268;MACACAO;MAC URANIA;VERAO 2015;18/07/2014;129,9;148,9;223,9;0
8269;MACACAO;MAC URSULA;VERAO 2015;28/07/2014;104,9;120,9;180,9;0
8270;VESTIDO;VE URSULINA;VERAO 2015;22/07/2014;149,9;171,9;258,9;0
8271;BLUSA;BL CRISANTE;VERAO 2015;24/07/2014;59,9;68,9;102,9;0
8272;VESTIDO;VE RUTH;VERAO 2015;14/07/2014;139,9;160,9;240,9;0
8273;MACACAO;MAC  VALDINEA;VERAO 2015;28/07/2014;119,9;137,9;206,9;0
8274;VESTIDO;VE VALENTINA;VERAO 2015;30/07/2014;139,9;160,9;240,9;0
8275;VESTIDO;VE VALERIA;VERAO 2015;21/08/2014;104,9;120,9;180,9;0
8276;VESTIDO;VE VALESCA;VERAO 2015;22/07/2014;104,9;120,9;180,9;0
8277;SAIA;SA VANDERLEIA;VERAO 2015;05/08/2014;49,9;56,9;85,9;0
8278;VESTIDO;VE VANESSA;VERAO 2015;25/07/2014;104,9;120,9;180,9;0
8279;VESTIDO;VE VANI;VERAO 2015;25/07/2014;104,9;120,9;180,9;0
8280;BLUSA;BL VANIA;VERAO 2015;05/08/2014;49,9;56,9;85,9;0
8281;VESTIDO;VE VANUSA;VERAO 2015;01/08/2014;104,9;120,9;180,9;0
8282;BLUSA;BL VERA;VERAO 2015;16/08/2014;49,9;56,9;85,9;0
8283;VESTIDO;VE VERALICE;VERAO 2015;06/08/2014;149,9;171,9;258,9;0
8284;VESTIDO;VE VERIDIANA;VERAO 2015;02/08/2014;114,9;131,9;197,9;0
8285;VESTIDO;VE VERONICA;VERAO 2015;04/08/2014;109,9;125,9;189,9;0
8286;VESTIDO;VE VIRGINIA;VERAO 2015;02/08/2014;104,9;120,9;180,9;0
8287;VESTIDO;VE VITORIA;VERAO 2015;12/08/2014;104,9;120,9;180,9;0
8288;BLUSA;BL VIVIAN;VERAO 2015;12/08/2014;49,9;56,9;85,9;0
8289;VESTIDO;VE VIVIANE;VERAO 2015;15/08/2014;104,9;120,9;180,9;0
8290;BLUSA;BL WALO;VERAO 2015;04/08/2014;49,9;56,9;85,9;0
8291;VESTIDO;VE WANDA;VERAO 2015;15/08/2014;149,9;171,9;258,9;0
8292;VESTIDO;VE WANDERLEA;VERAO 2015;15/08/2014;149,9;171,9;258,9;0
8293;BLUSA;BL WANESSA;VERAO 2015;01/08/2014;49,9;56,9;85,9;0
8294;BERMUDA;BL WENDY;VERAO 2015;07/08/2014;49,9;56,9;85,9;0
8295;BLUSA;BL WENDY;VERAO 2015;07/08/2014;49,9;56,9;85,9;0
8296;BLUSA;BL XAQUIRA;VERAO 2015;15/08/2014;49,9;56,9;85,9;0
8297;VESTIDO;VE XENIA;VERAO 2015;20/08/2014;104,9;120,9;180,9;0
8298;VESTIDO;VE YARA;VERAO 2015;12/08/2014;119,9;137,9;206,9;0
8299;BLUSA;BL YANNA;VERAO 2015;01/09/2014;49,9;56,9;85,9;0
8300;BLUSA;BL  YASMIN;VERAO 2015;11/09/2014;59,9;68,9;102,9;0
8301;VESTIDO;VE YOLE;VERAO 2015;12/08/2014;104,9;120,9;180,9;0
8302;VESTIDO;VE YONE;VERAO 2015;15/08/2014;104,9;120,9;180,9;0
8303;VESTIDO;VE ZAIRA;VERAO 2015;22/08/2014;139,9;160,9;240,9;0
8304;MACACAO;MAC ZAFIRA;VERAO 2015;26/08/2014;104,9;120,9;180,9;0
8305;VESTIDO;VE ZELIA;VERAO 2015;26/08/2014;149,9;171,9;258,9;0
8306;BLUSA;BL ZELINDA;VERAO 2015;19/08/2014;49,9;56,9;85,9;0
8307;VESTIDO;VE ZELITA;VERAO 2015;19/08/2014;104,9;120,9;180,9;0
8308;VESTIDO;VE ZENAIDE;VERAO 2015;28/08/2014;109,9;125,9;189,9;0
8309;MACACAO;MAC ZENILDE;VERAO 2015;04/09/2014;109,9;125,9;189,9;0
8310;BERMUDA;BER ZENIR;VERAO 2015;22/08/2014;49,9;56,9;85,9;0
8311;VESTIDO;VE ZILA;VERAO 2015;29/08/2014;104,9;120,9;180,9;0
8313;CONJUNTO;CONJ ZILENA;VERAO 2015;22/09/2014;99,9;114,9;171,9;0
8314;BLUSA;BL ZILMA;VERAO 2015;01/09/2014;49,9;56,9;85,9;0
8315;BLUSA;BL ZITA;VERAO 2015;04/09/2014;49,9;56,9;85,9;0
8316;BERMUDA;BER ZORA;VERAO 2015;11/09/2014;49,9;56,9;85,9;0
8317;VESTIDO;VE ZORAIDE;VERAO 2015;13/09/2014;149,9;171,9;258,9;0
8318;CAMISA;CAM  ZULMIRA;VERAO 2015;01/09/2014;59,9;68,9;102,9;0
8319;VESTIDO;VE ABGAIL;VERAO 2015;05/09/2014;129,9;148,9;223,9;0
8320;VESTIDO;VE ABILIA;VERAO 2015;05/09/2014;129,9;148,9;223,9;0
8321;SAIA;SA ABNA;VERAO 2015;29/08/2014;69,9;79,9;120,9;0
8322;BLUSA;BL ACELIA;VERAO 2015;28/08/2014;69,9;79,9;120,9;0
8323;VESTIDO;VE ACIL;VERAO 2015;13/09/2014;104,9;120,9;180,9;0
8324;MACACAO;MAC AÇUCENA;VERAO 2015;08/09/2014;104,9;120,9;180,9;0
8325;VESTIDO;VE ADA;VERAO 2015;08/09/2014;104,9;120,9;180,9;0
8326;VESTIDO;VE ADELAIDE;VERAO 2015;12/09/2014;104,9;120,9;180,9;0
8327;CALCA;CAL ADELINDA;VERAO 2015;08/09/2014;79,9;91,9;137,9;55,9
8328;BLUSA;BL ADILA;VERAO 2015;16/09/2014;49,9;56,9;85,9;0
8329;VESTIDO;VE ADOSINDA;VERAO 2015;17/09/2014;104,9;120,9;180,9;0
8330;VESTIDO;VE ADRIANA;VERAO 2015;27/10/2014;104,9;120,9;180,9;0
8331;VESTIDO;VE AFONSA;VERAO 2015;22/09/2014;104,9;120,9;180,9;0
8332;VESTIDO;VE AFONSINA;VERAO 2015;16/09/2014;119,9;137,9;206,9;0
8333;MACACAO;MAC AFRA;VERAO 2015;02/10/2014;129,9;148,9;223,9;0
8334;VESTIDO;VE AFRICANA;VERAO 2015;29/09/2014;149,9;171,9;258,9;0
8335;BLUSA;BL AGATA;VERAO 2015;03/10/2014;59,9;68,9;102,9;0
8336;MACACAO;MAC AGNA;VERAO 2015;23/09/2014;104,9;120,9;180,9;0
8337;VESTIDO;VE AGNES;VERAO 2015;20/09/2014;149,9;172,9;258,9;0
8338;VESTIDO;VE AGRIPINA;VERAO 2015;19/09/2014;149,9;171,9;258,9;0
8339;VESTIDO;VE AGUEDA;VERAO 2015;24/09/2014;149,9;171,9;258,9;0
8340;VESTIDO;VE AIDA;VERAO 2015;26/09/2014;149,9;171,9;258,9;0
